,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,BULAN,IBU HAMIL,,,JUMLAH IBU MENYUSUI,JUMLAH AKSEPTOR,,,,,,,,PENIMBANGAN BALITA,,,,,,,,,,,,IMUNISASI TT IBU HAMIL,JUMLAH BAYI YANG DIIMUNISASI,,,,,,,,,,,,,,,,,,,,,,,,BLITA YANG MENDERITA DIARE,,,,KETERANGAN
,,JUMLAH,DIPERIKSA,FE TAB (Tablet Besi),,KONDOM,PIL,IMPLANT,MOP,MOW,IUD,SUNTIK,LAIN-LAIN,JML BALITA (S),,JML BALITA YANG MEMILIKI KMS (K),,JML BALITA YANG DITIMBANG (D),,JML BALTA YANG NAIK (N),,JML BALITA YG MENDAPAT VIT. A,,JML BALITA YG MENDAPATKAN PMT,,,BCG,,DPT,,,,,,POLIO,,,,,,,,CAMPAK,,HEPATITIS B,,,,,,JUMLAH,,YANG MENDAPATKAN ORALIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,II,,III,,I,,II,,III,,IV,,,,I,,II,,III,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,L,P,L,P,L,P,L,P,L,P,L,P,,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,JANUARI,18,18,18,85,162,89,67,4,78,57,315,,128,125,128,125,125,123,111,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FEBRUARI,23,23,23,85,162,89,67,4,78,57,315,,128,125,128,125,117,122,109,114,102,109,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MARET,25,25,25,86,162,89,67,4,78,57,315,,128,126,128,126,121,123,115,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,APRIL,24,24,24,89,162,89,67,4,78,57,315,,130,127,130,127,119,122,110,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MEI,24,24,24,89,165,82,71,4,79,58,317,,131,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,JULI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AGUSTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,OKTOBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NOVEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DESEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUMLAH,,114,114,114,434,813,438,339,20,391,286,1577,0,645,631,514,503,482,490,445,451,102,109,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASIL PEMERIKSAAN SASARAN,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REKAPITULASI IBU HAMIL/NIFAS/MENYUSUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulan/Tahun,Ibu Hamil,Ibu Menyusui,Jumlah Sasaran,,,,Jumlah Ibu Hamil/Nifas/Menyusui dengan Hasil Penimbangan/Pengukuran/Pemeriksaan,,,,,,,TTD,,,PMT BUMIL KEK,,,Jumlah Ibu Hamil Mengikuti Kelas,,Jumlah Ibu Nifas Mendapatkan Vit.A,,Jumlah Ibu Nifas/Menyusui ,,Jumlah Ibu Hamil/Nifas/Menyusui,Jumlah Sasaran yang Dirujuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Datang,,Tidak Datang,,Berat Badan,,Lingkar Lengan Atas,,Tekanan Darah,,Gejala TBC,Jumlah Ibu Hamil,Ibu Hamil Konsumsi TTD,,Jumlah Ibu Hamil,Ibu Hamil Konsumsi PMT,,,,,,Mengikuti KB Pasca Persalinan,,Mendapatkan Edukasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ibu Hamil,Ibu Menyusui,Ibu Hamil,Ibu Menyusui,Hijau,Merah,Hijau,Merah/KEK,Hijau,Merah,,Mendapatkan TTD,Tiap Hari,Tidak,Mendapatkan PMT,Tiap Hari,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,,Ibu Hamil,Ibu Nifas/menyusui,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januari 2026,18,85,15,,3,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
